geneId	total	isoform_def	isoform_undef
Rexo1	80	3	77
Stmn2	2399	2098	301
Stmn3	1255	1162	93
Rexo4	46	28	18
Stmn4	604	507	97
Rsu1	40	34	6
Rexo2	90	80	10
Igsf21	28	15	13
Pmm2	27	15	12
Nolc1	98	18	80
Pmm1	142	134	8
Rbpj	54	37	17
Smim12	51	47	4
Aaas	22	15	7
Smim11	127	93	34
Snap29	20	9	11
Pcdh20	3	3	0
Snap25	67	23	44
Dnttip2	106	36	70
Trmt11	14	5	9
Snap23	12	7	5
Dnttip1	58	43	15
Trmt12	8	8	0
Trmt13	30	20	10
Manbal	160	113	47
Arf4	516	483	33
Arf3	201	9	192
Rpusd4	17	14	3
Arf2	66	52	14
Dstyk	15	1	14
Arf1	496	357	139
Rpusd2	1	1	0
Rpusd3	10	6	4
Rpusd1	15	3	12
Mansc1	1	1	0
Depdc5	13	0	13
Shb	11	3	8
Rbsn	21	8	13
Smim10l1	96	94	2
Shd	49	29	20
Tigd3	8	7	1
Shf	18	5	13
Tigd2	47	24	23
Tigd5	7	7	0
Tnfrsf1a	7	5	2
Hey2	1	0	1
Hyls1	3	1	2
Hey1	17	12	5
Mdfi	7	3	4
Arg2	13	11	2
Emp1	2	2	0
Bgn	1	1	0
Rspo3	72	11	61
Emp2	6	6	0
Rspo2	4	1	3
Aacs	33	16	17
Anapc11	358	314	44
Usp9x	56	0	56
Anapc10	71	27	44
Bdh2	1	0	1
Bdh1	92	42	50
Cyp20a1	14	4	10
Aldh1l1	7	4	3
Tuba4a	8	8	0
Anapc16	119	106	13
Aldh1l2	8	1	7
Anapc13	129	86	43
Myom3	1	1	0
Anapc15	54	16	38
Arf6	68	49	19
Arf5	650	615	35
Anxa7	8	5	3
Anxa6	13	2	11
Sez6	110	12	98
Champ1	23	10	13
Mef2d	8	0	8
Gbx2	1	1	0
Vkorc1l1	29	14	15
Bcap29	14	6	8
Pms2	9	4	5
Bid	10	9	1
Pms1	8	5	3
Hinfp	8	4	4
Tnfrsf23	2	2	0
Pcmt1	173	135	38
Agbl5	10	0	10
Veph1	22	14	8
Tnfrsf21	29	13	16
Gsx2	6	6	0
Hexa	39	19	20
Mdh1	416	373	43
Col23a1	1	0	1
Hexb	5	5	0
Mdh2	591	545	46
Bik	2	2	0
Gsx1	7	6	1
Agbl3	7	2	5
Sssca1	151	142	9
Hs6st2	65	3	62
Bcap31	59	36	23
Hs6st1	15	13	2
Ski	44	0	44
Mef2a	46	29	17
Tigar	16	6	10
Mef2c	449	300	149
Asrgl1	54	38	16
Tnfrsf19	19	4	15
Rcan1	38	28	10
Serping1	7	1	6
Tuba1b	1553	1295	258
Tuba1a	17600	15161	2439
Rcan2	11	5	6
Rcan3	6	3	3
Tuba1c	75	59	16
Mum1	38	10	28
Sla	50	33	17
Fam46a	3	2	1
Fam46c	3	2	1
Slk	8	0	8
Luzp1	45	0	45
Pptc7	5	0	5
Sln	5	5	0
Luzp2	21	0	21
Hvcn1	2	1	1
Rita1	29	9	20
Serpinf1	1	0	1
Cdkal1	22	5	17
Arid1a	88	0	88
Arid1b	17	1	16
Mad2l2	101	61	40
Zufsp	10	0	10
Pcdhga11	1	0	1
Lag3	1	0	1
Snrnp70	257	173	84
Dzank1	6	1	5
Pcdhga12	43	42	1
Mul1	18	11	7
Tmem183a	104	77	27
Mad2l1	42	31	11
Lhcgr	2	0	2
Rbx1	792	691	101
Mtmr10	7	1	6
Fam45a	20	12	8
Klhl18	14	11	3
Smo	31	28	3
Mtmr14	44	21	23
Mtmr12	6	1	5
Klhl15	4	1	3
Mtmr11	2	1	1
Klhl12	22	12	10
Sms	158	45	113
Anxa5	22	17	5
Klhl13	36	12	24
Serpine2	16	15	1
Hnrnpdl	423	248	175
Anxa4	2	1	1
Klhl11	1	1	0
Anxa2	10	3	7
Trak1	68	0	68
Rpp25l	100	83	17
Trak2	5	2	3
Traip	10	8	2
Snrnp40	162	144	18
Ces4a	1	0	1
Eftud2	97	39	58
Blm	19	11	8
Arl6	56	53	3
Serpini1	69	41	28
Arl3	282	210	72
Arl2	67	56	11
Snrnp48	82	24	58
Arl1	182	164	18
Appbp2	71	38	33
Bmp2k	2	0	2
Csrnp2	15	2	13
Csrnp3	70	11	59
Klhl29	6	0	6
Snn	181	106	75
Csrnp1	1	0	1
Sp2	11	4	7
Klhl28	13	9	4
Sp1	9	1	8
Klhl25	13	7	6
Sp4	18	0	18
Klhl26	11	4	7
Sp3	45	20	25
Klhl23	50	7	43
Sp6	1	0	1
Klhl24	44	31	13
Sp5	5	3	2
Btbd6	37	25	12
Klhl21	6	0	6
Bmf	1	1	0
Sp8	12	0	12
Btbd7	6	4	2
Klhl22	42	1	41
Btbd8	2	0	2
Nmral1	107	86	21
Btbd9	87	41	46
Klhl20	11	8	3
Sp9	103	68	35
Mdn1	17	2	15
Dscr3	46	33	13
Tmem181a	3	0	3
Tia1	230	204	26
Apmap	12	8	4
Serpinh1	63	43	20
Nacc1	23	1	22
Nacc2	16	1	15
Nacad	36	2	34
Dhcr7	33	12	21
Fam43a	2	2	0
Mpdu1	83	72	11
Fam43b	10	10	0
G6pc3	28	26	2
Son	270	1	269
Klhl36	8	5	3
Natd1	27	10	17
Safb2	51	6	45
Mdm2	40	10	30
Klhl35	16	9	7
Aak1	40	36	4
Mdm4	60	45	15
Klhl32	16	4	12
Klhl31	6	0	6
Zzef1	20	1	19
Mdm1	8	1	7
Hnrnpab	816	312	504
Traf7	39	12	27
Nxt1	81	78	3
Erlec1	38	12	26
Traf4	185	147	38
Traf3	3	0	3
Serhl	6	3	3
Bdnf	4	3	1
Traf6	6	1	5
Snrnp25	92	82	10
Snrnp27	130	94	36
Nxt2	22	20	2
Psmd12	127	79	48
Psmd11	252	202	50
Psmd10	55	48	7
Spr	42	39	3
Tradd	29	5	24
Psmd14	244	196	48
Boc	10	2	8
Psmd13	220	186	34
Hdgfrp2	109	57	52
Hdgfrp3	274	133	141
Traf2	23	9	14
Spx	1	0	1
Arid5b	20	0	20
Traf1	1	0	1
Mdp1	66	59	7
Klhl42	4	2	2
Syngap1	5	0	5
Klhl40	2	2	0
Bok	100	74	26
Emx1	89	83	6
Emx2	44	32	12
Btbd1	90	48	42
Btbd2	85	52	33
Btbd3	13	5	8
Efhd2	75	50	25
Snrnp35	33	30	3
Vcpip1	31	2	29
Hnrnpa3	572	330	242
Athl1	5	1	4
Pmvk	88	76	12
Mapkbp1	8	0	8
Arid4b	167	64	103
Arid4a	98	4	94
Bdp1	37	2	35
Egfem1	1	0	1
Foxred1	21	13	8
Lrp1	51	2	49
Src	37	5	32
