"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Eva1c",1.7962664280326e-36,0.256257890272306,0.286,0.014,5.02918674520568e-32,"radial glia","Eva1c"
"Lxn",2.83510552527398e-36,1.11759385593575,0.614,0.107,7.93772844966209e-32,"radial glia","Lxn"
"S100a1",3.1374107235969e-36,0.518941263677857,0.3,0.017,8.78412254392661e-32,"radial glia","S100a1"
"Cldn10",4.89413025140876e-36,0.259541081186418,0.257,0.01,1.37025858778942e-31,"radial glia","Cldn10"
"Bcl2l12",1.0343462031975e-35,0.346883183107054,0.414,0.039,2.89596249971236e-31,"radial glia","Bcl2l12"
"Gng5",1.04321408689211e-35,1.15098374399907,0.986,0.675,2.92079080048052e-31,"radial glia","Gng5"
"Cd9",1.16809933499991e-35,0.946453884029244,0.829,0.234,3.27044451813275e-31,"radial glia","Cd9"
"Rhcg",1.22611560467127e-35,0.272562871058358,0.214,0.006,3.43287846995862e-31,"radial glia","Rhcg"
"E2f5",1.60540476064428e-35,0.475999441694091,0.629,0.102,4.49481224885187e-31,"radial glia","E2f5"
"Emp2",2.59432562659449e-35,0.289106772549115,0.3,0.017,7.26359288933926e-31,"radial glia","Emp2"
"Lipg",3.60948021011321e-35,0.250304903757138,0.271,0.013,1.0105822692275e-30,"radial glia","Lipg"
"Pacsin3",5.87739857416648e-35,0.417257947886936,0.471,0.056,1.64555405279513e-30,"radial glia","Pacsin3"
"Anxa5",9.88774706993234e-35,0.429810832092268,0.443,0.05,2.76837142463966e-30,"radial glia","Anxa5"
"Stxbp6",1.64780745132155e-34,0.317900980373603,0.414,0.041,4.61353130221006e-30,"radial glia","Stxbp6"
"Grb10",3.47074549750389e-34,0.548659768055232,0.643,0.109,9.71739324391138e-30,"radial glia","Grb10"
"Nfatc4",4.64742987297798e-34,0.299556365235281,0.357,0.029,1.30118741583637e-29,"radial glia","Nfatc4"
"Acadm",6.58909357540004e-34,0.426285495265678,0.557,0.083,1.8448144192405e-29,"radial glia","Acadm"
"Ctnna1",1.0911543043175e-33,0.570663678897834,0.686,0.132,3.05501382122813e-29,"radial glia","Ctnna1"
"Ppic",1.32525696745104e-33,0.299047579343716,0.357,0.029,3.71045445746943e-29,"radial glia","Ppic"
"Pttg1",2.12441769186765e-33,0.473941836047211,0.5,0.069,5.94794465369103e-29,"radial glia","Pttg1"
"Cst3",1.11876517814407e-32,1.28144863636255,1,0.808,3.13231874576778e-28,"radial glia","Cst3"
"Tmem132b",1.14783707264436e-32,0.335395851791236,0.386,0.037,3.21371423598967e-28,"radial glia","Tmem132b"
"Csrp1",2.09593113053933e-32,0.418228927206369,0.557,0.083,5.86818797928402e-28,"radial glia","Csrp1"
"Prdx6",3.19899887563984e-32,1.12586294942579,0.971,0.517,8.95655705201642e-28,"radial glia","Prdx6"
"Mid1ip1",3.55774855872511e-32,0.88928725952942,0.814,0.221,9.96098441471856e-28,"radial glia","Mid1ip1"
"Id1",7.77241835676101e-32,0.761398524003848,0.571,0.096,2.17612169152595e-27,"radial glia","Id1"
"Slc27a1",8.50900898075787e-32,0.413098978412679,0.543,0.083,2.38235233443259e-27,"radial glia","Slc27a1"
"Add3",8.68448120603187e-32,0.316694648521427,0.4,0.043,2.4314810480648e-27,"radial glia","Add3"
"Plagl1",9.79977848828743e-32,0.573429418132025,0.5,0.073,2.74374198115072e-27,"radial glia","Plagl1"
"Sfrp1",1.18062370409071e-31,1.20861968530058,0.786,0.25,3.30551024671318e-27,"radial glia","Sfrp1"
"Nde1",1.19308613727161e-31,0.606246929998378,0.543,0.085,3.34040256713304e-27,"radial glia","Nde1"
"Ptn",1.84585095032349e-31,1.44914701209316,0.986,0.627,5.16801349071571e-27,"radial glia","Ptn"
"Loxl1",2.00158727532691e-31,0.351580425929157,0.4,0.043,5.60404405346028e-27,"radial glia","Loxl1"
"Eif4ebp1",3.88189097136656e-31,0.301610992095931,0.386,0.04,1.08685183416321e-26,"radial glia","Eif4ebp1"
"Litaf",3.94724399485104e-31,0.542303732112758,0.586,0.104,1.10514937367839e-26,"radial glia","Litaf"
"Krcc1",5.23239527519877e-31,0.553417195588136,0.643,0.127,1.46496602915015e-26,"radial glia","Krcc1"
"1810037I17Rik",9.28848711184128e-31,0.947313794309357,0.971,0.49,2.60059062157332e-26,"radial glia","1810037I17Rik"
"Shroom3",9.90537864859485e-31,0.29321074243862,0.371,0.037,2.77330791403359e-26,"radial glia","Shroom3"
"Rest",1.54311059703625e-30,0.264682139067271,0.4,0.043,4.3204010495821e-26,"radial glia","Rest"
"Tnfaip8",1.93763343756814e-30,0.313107111147514,0.314,0.026,5.42498609850329e-26,"radial glia","Tnfaip8"
"Cd63",3.47062560659482e-30,1.00081571025613,0.886,0.31,9.71705757334417e-26,"radial glia","Cd63"
"Asah1",4.55603073250229e-30,0.34110367737974,0.457,0.062,1.27559748448599e-25,"radial glia","Asah1"
"Sox21",4.93377556600043e-30,0.495589487282059,0.5,0.074,1.3813584829688e-25,"radial glia","Sox21"
"Jam2",5.23725060519247e-30,0.27406361369304,0.357,0.035,1.46632542444179e-25,"radial glia","Jam2"
"Oat",8.14738616332316e-30,0.855414555254231,0.771,0.237,2.28110517800722e-25,"radial glia","Oat"
"Per3",8.84629430564666e-30,0.369572655958899,0.386,0.043,2.47678547969495e-25,"radial glia","Per3"
"Epb41l2",9.26659211871371e-30,0.269983300280317,0.271,0.018,2.59446046139747e-25,"radial glia","Epb41l2"
"Cdon",1.06597649249538e-29,0.389974973624218,0.4,0.048,2.98452098368857e-25,"radial glia","Cdon"
"Ptx3",1.13913033898882e-29,0.624712939339465,0.471,0.072,3.18933712310091e-25,"radial glia","Ptx3"
"Gyg",2.26667151256833e-29,0.309875612508279,0.457,0.063,6.34622690088881e-25,"radial glia","Gyg"
"Acaa2",3.7464853252858e-29,0.517300065138719,0.629,0.13,1.04894096137352e-24,"radial glia","Acaa2"
"Il18",5.14727189517694e-29,0.343338885933252,0.386,0.044,1.44113318521164e-24,"radial glia","Il18"
"Nxt2",5.43820186708228e-29,0.364092304511735,0.486,0.071,1.5225877587457e-24,"radial glia","Nxt2"
"Tead2",6.2407246358493e-29,0.590749402702276,0.814,0.208,1.74727808354509e-24,"radial glia","Tead2"
"Cpne3",9.4875384824626e-29,0.50015165987553,0.643,0.132,2.65632102431988e-24,"radial glia","Cpne3"
"Clic1",1.11948645623875e-28,0.801400436161801,0.9,0.321,3.13433818017724e-24,"radial glia","Clic1"
"Ckb",1.96692216466722e-28,1.04265570732777,1,0.887,5.50698867663529e-24,"radial glia","Ckb"
"Gstm1",2.09279571719215e-28,0.951427957467478,0.629,0.14,5.85940944899459e-24,"radial glia","Gstm1"
"Fbxo2",2.25393129317876e-28,0.275567213772441,0.257,0.017,6.31055683464188e-24,"radial glia","Fbxo2"
"Mmd2",2.5119042131795e-28,0.963524895427614,0.857,0.324,7.03282941605995e-24,"radial glia","Mmd2"
"Gnai2",3.78035312920825e-28,0.904008242919236,0.971,0.632,1.05842326911573e-23,"radial glia","Gnai2"
"Lgals1",7.18471199568461e-28,0.439489639662625,0.443,0.063,2.01157566455178e-23,"radial glia","Lgals1"
